LSOA11CD,count_acupuncture,count_chiropractor,count_counseling_and_mental_health,count_dentist,count_doctor,count_eyewear_and_optician,count_fitness_trainer,count_gym,count_health_and_medical,count_health_food_store,count_home_health_care,count_hospital,count_laboratory_testing,count_martial_arts_club,count_massage_therapy,count_nutritionist,count_pharmacy,count_physical_therapy,count_weight_loss_center,count_yoga_studio,total_health_poi,area_km2,health_poi_density
E01000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.17445490108422115,22.9285619099284
E01000144,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.198035407946065,25.24801020109369
E01000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.20701497122386847,9.66113700944448
E01000146,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.20655715902029143,106.50804893108933
E01000147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.20225688794175067,9.888414779604409
E01000148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.23403032890423695,4.272950453396964
E01000150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.46470813179227055,6.455664953461653
E01000151,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.14226274028350464,14.058494838594783
E01000154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1347489144156567,7.42121006567314
E01000155,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.2904698611758899,24.098885755865904
